order_line_id,despatch_date,segment,channel,customer_type,qty,line_value_gbp
OL-26-2604432,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,Public framework,42,842
OL-26-2604635,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,Public framework,47,843
OL-26-2604964,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,FM company,15,778
OL-26-2605027,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,FM company,5,554
OL-26-2605034,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,Public framework,40,688
OL-26-2605160,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,FM company,42,677
OL-26-2605258,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,FM company,47,963
OL-26-2605384,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,FM company,19,509
OL-26-2605510,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,Manufacturer,42,828
OL-26-2605573,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,Manufacturer,44,503
OL-26-2605783,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,Manufacturer,18,877
OL-26-2605790,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,Manufacturer,12,926
OL-26-2606273,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,Public framework,18,896
OL-26-2606350,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,FM company,37,607
OL-26-2607092,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,FM company,3,809
OL-26-2607099,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,Public framework,48,691
OL-26-2607225,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,FM company,13,525
OL-26-2607246,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,FM company,2,430
OL-26-2607302,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,Manufacturer,7,424
OL-26-2607337,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,Manufacturer,34,734
OL-26-2607386,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,Manufacturer,34,753
OL-26-2607400,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,FM company,8,908
OL-26-2607666,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,Manufacturer,48,506
OL-26-2607981,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,Public framework,1,732
OL-26-2608184,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,Manufacturer,33,644
OL-26-2608401,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,Manufacturer,26,802
OL-26-2608611,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,NHS trust,41,933
OL-26-2608681,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,FM company,1,923
OL-26-2608814,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,NHS trust,12,683
OL-26-2608961,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,Manufacturer,25,653
OL-26-2609094,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,Public framework,14,514
OL-26-2609157,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,Public framework,26,558
OL-26-2609241,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,Public framework,21,966
OL-26-2609458,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,NHS trust,21,496
OL-26-2609549,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,Public framework,44,521
OL-26-2609584,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,FM company,10,620
OL-26-2609696,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,Public framework,10,934
OL-26-2609976,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,NHS trust,1,776
OL-26-2610081,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,FM company,40,478
OL-26-2610221,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,Public framework,16,736
OL-26-2610235,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,NHS trust,42,507
OL-26-2610249,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,NHS trust,17,928
OL-26-2610410,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,Public framework,41,516
OL-26-2610578,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,Manufacturer,41,843
OL-26-2611404,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,FM company,46,891
OL-26-2611516,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,Public framework,11,835
OL-26-2611537,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,Manufacturer,1,926
OL-26-2611747,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,Public framework,19,435
OL-26-2611866,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,NHS trust,26,526
OL-26-2612153,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,Manufacturer,44,566
OL-26-2612335,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,Manufacturer,6,449
OL-26-2612461,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,NHS trust,8,939
OL-26-2612482,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,FM company,15,810
OL-26-2612573,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,FM company,2,746
OL-26-2612755,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,Manufacturer,28,920
OL-26-2612825,2026-05-01,Facilities & Safety Supplies,Contract & framework accounts,Public framework,43,874
